0.025,0.05,0.25,0.75,0.95,0.975,estimate,stat,method,data_seed,boot_seed,n_l3,n_l2,n_l1,rand_eff_dgp,replication_id
-0.337381730219831,-0.2835451425323704,-0.1321094971318697,0.06538824179471968,0.21682389497266755,0.270660481296249,-0.03336062740625342,mu,profile-likelihood,8047133337562467477,277495415,15,4,8,norm,0
0.2956959991857289,0.32471238813507947,0.4182880568383728,0.579573298760622,0.7374695108042123,0.8000841584303255,0.4926313554521815,sd_l3,profile-likelihood,8047133337562467477,277495415,15,4,8,norm,0
0.3885329548501546,0.4039795839393811,0.4557504462209059,0.5409439580279631,0.6147539505922278,0.6415283513375044,0.4961507024099775,sd_l2,profile-likelihood,8047133337562467477,277495415,15,4,8,norm,0
-0.3138417577748581,-0.2595073192657304,-0.12924923107483252,0.06259952442227472,0.2151476852698343,0.2676568104478679,-0.03336062740625342,mu,parametric-percentile-boot,8047133337562467477,277495415,15,4,8,norm,0
0.18632530136471995,0.24947574751964433,0.36953908890790055,0.5274493360245525,0.657351456576005,0.6990275458863301,0.4926313554521815,sd_l3,parametric-percentile-boot,8047133337562467477,277495415,15,4,8,norm,0
0.3670217115724518,0.3862526743631972,0.45426614425594775,0.5344935084778936,0.5958246634538705,0.6171241951536383,0.4961507024099775,sd_l2,parametric-percentile-boot,8047133337562467477,277495415,15,4,8,norm,0
-0.36409800514937074,-0.30081674065478753,-0.13675709114657153,0.07252180810435485,0.21530303501104706,0.283125930968393,-0.03336062740625342,mu,cases-percentile-boot,8047133337562467477,277495415,15,4,8,norm,0
0.2534122003127837,0.3043346592639798,0.43916269871887964,0.6049232165113778,0.7140013111048773,0.7561053369222777,0.4926313554521815,sd_l3,cases-percentile-boot,8047133337562467477,277495415,15,4,8,norm,0
0.34490850314158633,0.3614200385399195,0.4239617633512537,0.5107104536879986,0.5670298610191109,0.591455635457319,0.4961507024099775,sd_l2,cases-percentile-boot,8047133337562467477,277495415,15,4,8,norm,0
-0.36409800514937074,-0.3008167406547875,-0.13675709114657153,0.07252180810435485,0.283125930968393,0.42515707969691496,-0.03336062740625342,mu,cases-double-boot,8047133337562467477,277495415,15,4,8,norm,0
0.2534122003127837,0.3043346592639798,0.394252966734673,0.5405551119065738,0.6649845978688568,0.7140013111048773,0.4926313554521815,sd_l3,cases-double-boot,8047133337562467477,277495415,15,4,8,norm,0
0.42912096437136943,0.44445890983235997,0.4849546068938595,0.5566054872113546,0.6517640692628789,0.6517640692628789,0.4961507024099775,sd_l2,cases-double-boot,8047133337562467477,277495415,15,4,8,norm,0
-0.42516054164256367,-0.3714142995181986,-0.2202328034794064,-0.02306648514678613,0.12811501871343278,0.18186125929954694,-0.12164964410637584,mu,profile-likelihood,4313455233290741489,7418903,15,4,8,norm,1
0.2692197303478636,0.3017600596531617,0.40188117186438266,0.5678410015010562,0.7278622655398946,0.7910318958130593,0.4789067414096545,sd_l3,profile-likelihood,4313455233290741489,7418903,15,4,8,norm,1
0.4290470090599772,0.4453422122620932,0.5001642030105635,0.5908522722996579,0.6697223349251942,0.6983804372858836,0.543113946887993,sd_l2,profile-likelihood,4313455233290741489,7418903,15,4,8,norm,1
-0.42717192617972,-0.3746103449286633,-0.21948369439465815,-0.031129339311343852,0.11445787424833871,0.15714355246897452,-0.12164964410637584,mu,parametric-percentile-boot,4313455233290741489,7418903,15,4,8,norm,1
0.15171385427452722,0.23987873703500137,0.3637413226628413,0.5192775135735564,0.6418672399129601,0.6762136969629641,0.4789067414096545,sd_l3,parametric-percentile-boot,4313455233290741489,7418903,15,4,8,norm,1
0.41352935194658774,0.43696009680249764,0.498020963592394,0.5859091841687457,0.6486713726114235,0.6682187720415341,0.543113946887993,sd_l2,parametric-percentile-boot,4313455233290741489,7418903,15,4,8,norm,1
-0.4592651065757831,-0.39710719738849737,-0.23710513047339288,-0.010280840662925344,0.14111397839320447,0.18095986729173683,-0.12164964410637584,mu,cases-percentile-boot,4313455233290741489,7418903,15,4,8,norm,1
0.26242383800048424,0.3168280180417229,0.4460652408945314,0.6041245494807375,0.7106795414399044,0.7359375305015649,0.4789067414096545,sd_l3,cases-percentile-boot,4313455233290741489,7418903,15,4,8,norm,1
0.36558773302662007,0.3885710628793401,0.459471083308492,0.5487548246632348,0.615931386097326,0.6365951672753264,0.543113946887993,sd_l2,cases-percentile-boot,4313455233290741489,7418903,15,4,8,norm,1
