0.025,0.05,0.25,0.75,0.95,0.975,estimate,stat,method,data_seed,boot_seed,n_l3,n_l2,n_l1,rand_eff_dgp,replication_id
-0.3416191623261941,-0.20202586391793612,0.12791176844892382,0.5059877046763563,0.8359254015634929,0.9755190477330761,0.3169497139090849,mu,likelihood-profile,8047133337562467477,277495415,5,4,8,norm,0
0.28546326834383273,0.322792295341995,0.45258724641136755,0.7400577271570997,1.1277152718382537,1.3171702683914523,0.6500991504249539,sd_l3,likelihood-profile,8047133337562467477,277495415,5,4,8,norm,0
0.2082572862670961,0.2309765491459994,0.3050793932893653,0.4322423250581427,0.5554410884398803,0.6040512349457907,0.3638769650009023,sd_l2,likelihood-profile,8047133337562467477,277495415,5,4,8,norm,0
-0.2747727765065756,-0.1568191497208526,0.11174078885549359,0.5462975170549778,0.8341105602354809,0.9216012489059406,0.3169497139090849,mu,parametric-percentile-boot,8047133337562467477,277495415,5,4,8,norm,0
2.2635630581970354e-05,0.1642521008433349,0.41527313130162197,0.7614160992124007,1.0288409132572163,1.113139608103258,0.6500991504249539,sd_l3,parametric-percentile-boot,8047133337562467477,277495415,5,4,8,norm,0
0.14540088605356874,0.18961864440891898,0.2949396749029103,0.41416247331031386,0.5091826572844574,0.5432946205268152,0.3638769650009023,sd_l2,parametric-percentile-boot,8047133337562467477,277495415,5,4,8,norm,0
-0.2728566535419506,-0.2009575745899805,0.10290952814900199,0.5071455592587086,0.8446797408354138,0.9388364791819868,0.3169497139090849,mu,cases-percentile-boot,8047133337562467477,277495415,5,4,8,norm,0
3.81521257510091e-06,0.19095074281792457,0.47787375885538197,0.7048046426665021,0.8415394105483698,0.8950522166291645,0.6500991504249539,sd_l3,cases-percentile-boot,8047133337562467477,277495415,5,4,8,norm,0
0.1569989791191942,0.1856761821016583,0.2934434060961175,0.4327098335386794,0.5120011302544477,0.538250543971676,0.3638769650009023,sd_l2,cases-percentile-boot,8047133337562467477,277495415,5,4,8,norm,0
-0.5601695436450255,-0.5601695436450255,0.09362620773207121,0.5375149444362474,1.155592077432177,1.155592077432177,0.3169497139090849,mu,cases-double-boot,8047133337562467477,277495415,5,4,8,norm,0
0.43515793800516844,0.48125393098139363,0.6047458963067194,0.7883027429306974,1.0782696651282737,1.0782696651282737,0.6500991504249539,sd_l3,cases-double-boot,8047133337562467477,277495415,5,4,8,norm,0
0.24073424673538513,0.26853640818502866,0.32992870106947214,0.43000358325458243,0.5040778804885844,0.5421108986308574,0.3638769650009023,sd_l2,cases-double-boot,8047133337562467477,277495415,5,4,8,norm,0
-0.42090576172813926,-0.3314907563103939,-0.1201527089521892,0.12201982016092658,0.33335790682168787,0.42277313523689064,0.0009335400830014998,mu,likelihood-profile,4313455233290741489,7418903,5,4,8,norm,1
0.0,0.0,0.10186756371923504,0.3920790913836611,0.6712752094613096,0.8002268565788191,0.3170590686841874,sd_l3,likelihood-profile,4313455233290741489,7418903,5,4,8,norm,1
0.3672380308735147,0.39255801063742823,0.4814345183510764,0.6457848294782541,0.8082253991310022,0.8677204085442474,0.5562164054476312,sd_l2,likelihood-profile,4313455233290741489,7418903,5,4,8,norm,1
-0.3735681435649107,-0.32030147324770175,-0.12808881301584313,0.13037075107438176,0.3280036099567232,0.36972613260583836,0.0009335400830014998,mu,parametric-percentile-boot,4313455233290741489,7418903,5,4,8,norm,1
0.0,0.0,0.0002963537411592116,0.4171961649363001,0.6104763499900692,0.6722166701287894,0.3170590686841874,sd_l3,parametric-percentile-boot,4313455233290741489,7418903,5,4,8,norm,1
0.312396900441976,0.3469068650581024,0.46091532538379537,0.6152039147194829,0.7267318055924893,0.7672316343860132,0.5562164054476312,sd_l2,parametric-percentile-boot,4313455233290741489,7418903,5,4,8,norm,1
-0.45650675730235996,-0.37603090608212864,-0.1449797276303311,0.16514424115118187,0.3580641370278304,0.4184161297020543,0.0009335400830014998,mu,cases-percentile-boot,4313455233290741489,7418903,5,4,8,norm,1
0.0,0.0,0.1964627697088696,0.48728487934598635,0.6587141757471833,0.7079277329026966,0.3170590686841874,sd_l3,cases-percentile-boot,4313455233290741489,7418903,5,4,8,norm,1
0.22511295357095748,0.2773416769346701,0.4093062980114882,0.5917782334176852,0.7383519994325975,0.7762677260468307,0.5562164054476312,sd_l2,cases-percentile-boot,4313455233290741489,7418903,5,4,8,norm,1
-0.6579596234741035,-0.4936339859388936,-0.17556917397356345,0.15622546373162394,0.37546410976979827,0.6201249498613121,0.0009335400830014998,mu,cases-double-boot,4313455233290741489,7418903,5,4,8,norm,1
0.0,0.0,0.20466832405579674,0.4016089657440095,0.5351466233902232,0.5805385908133066,0.3170590686841874,sd_l3,cases-double-boot,4313455233290741489,7418903,5,4,8,norm,1
0.39305754571317064,0.42003908183328914,0.5228389054837393,0.7217619124583838,0.8914615287685963,0.8914615287685963,0.5562164054476312,sd_l2,cases-double-boot,4313455233290741489,7418903,5,4,8,norm,1
-0.06866548554577398,-0.0406227467892466,0.04339794551473511,0.15799199883569442,0.24201269111121293,0.27005543042488517,0.10069497219216575,mu,likelihood-profile,10856316263473710281,1574589735,50,4,8,norm,0
