0.025,0.05,0.25,0.75,0.95,0.975,estimate,stat,method,data_seed,boot_seed,n_l3,n_l2,n_l1,rand_eff_dgp,replication_id
-0.3416191623261941,-0.20202586391793612,0.12791176844892382,0.5059877046763563,0.8359254015634929,0.9755190477330761,0.3169497139090849,mu,likelihood-profile,8047133337562467477,277495415,5,4,8,norm,0
0.28546326834383273,0.322792295341995,0.45258724641136755,0.7400577271570997,1.1277152718382537,1.3171702683914523,0.6500991504249539,sd_l3,likelihood-profile,8047133337562467477,277495415,5,4,8,norm,0
0.2082572862670961,0.2309765491459994,0.3050793932893653,0.4322423250581427,0.5554410884398803,0.6040512349457907,0.3638769650009023,sd_l2,likelihood-profile,8047133337562467477,277495415,5,4,8,norm,0
-0.21695869714130572,-0.21695869714130572,-0.0003417863631919871,0.4728427291851504,0.7176333638290955,0.7176333638290955,0.3169497139090849,mu,parametric-percentile-boot,8047133337562467477,277495415,5,4,8,norm,0
0.07941197842277786,0.07941197842277786,0.24927306743560262,0.5863967880165047,0.6924344542482748,0.6924344542482748,0.6500991504249539,sd_l3,parametric-percentile-boot,8047133337562467477,277495415,5,4,8,norm,0
0.20749477360321575,0.20749477360321575,0.24733244512909996,0.412401141031792,0.5202458439894014,0.5202458439894014,0.3638769650009023,sd_l2,parametric-percentile-boot,8047133337562467477,277495415,5,4,8,norm,0
-0.03726031828199466,-0.03726031828199466,0.1706744403849757,0.668662594344303,1.028567203631989,1.028567203631989,0.3169497139090849,mu,cases-percentile-boot,8047133337562467477,277495415,5,4,8,norm,0
0.0,0.0,0.5843569706313962,0.7331542167936282,0.7695668828446439,0.7695668828446439,0.6500991504249539,sd_l3,cases-percentile-boot,8047133337562467477,277495415,5,4,8,norm,0
0.118172782183599,0.118172782183599,0.22023032439221477,0.4459477402281894,0.5047706337821263,0.5047706337821263,0.3638769650009023,sd_l2,cases-percentile-boot,8047133337562467477,277495415,5,4,8,norm,0
-0.03726031828199466,-0.03726031828199466,0.0032305825166401986,0.46670241611284113,0.9612459028722398,0.9612459028722398,0.3169497139090849,mu,cases-double-boot,8047133337562467477,277495415,5,4,8,norm,0
0.6216921503852011,0.6216921503852011,0.6407188418002027,0.735116140461057,0.7695668828446439,0.7695668828446439,0.6500991504249539,sd_l3,cases-double-boot,8047133337562467477,277495415,5,4,8,norm,0
0.118172782183599,0.118172782183599,0.3088108456004808,0.4779484017057305,0.5047706337821263,0.5047706337821263,0.3638769650009023,sd_l2,cases-double-boot,8047133337562467477,277495415,5,4,8,norm,0
-0.42090576172813926,-0.3314907563103939,-0.1201527089521892,0.12201982016092658,0.33335790682168787,0.42277313523689064,0.0009335400830014998,mu,likelihood-profile,4313455233290741489,7418903,5,4,8,norm,1
0.0,0.0,0.10186756371923504,0.3920790913836611,0.6712752094613096,0.8002268565788191,0.3170590686841874,sd_l3,likelihood-profile,4313455233290741489,7418903,5,4,8,norm,1
0.3672380308735147,0.39255801063742823,0.4814345183510764,0.6457848294782541,0.8082253991310022,0.8677204085442474,0.5562164054476312,sd_l2,likelihood-profile,4313455233290741489,7418903,5,4,8,norm,1
-0.29906969746246026,-0.29906969746246026,-0.21146940041482357,0.22967531908159852,0.4037291447834077,0.4037291447834077,0.0009335400830014998,mu,parametric-percentile-boot,4313455233290741489,7418903,5,4,8,norm,1
0.0,0.0,4.979305135615671e-07,0.5128179043581067,0.5325640937260103,0.5325640937260103,0.3170590686841874,sd_l3,parametric-percentile-boot,4313455233290741489,7418903,5,4,8,norm,1
0.3054370487422224,0.3054370487422224,0.5013497139832108,0.6194452655169899,0.6528552855051676,0.6528552855051676,0.5562164054476312,sd_l2,parametric-percentile-boot,4313455233290741489,7418903,5,4,8,norm,1
-0.16386022068166975,-0.16386022068166975,0.00817262841799812,0.22727927153436778,0.40828722472769896,0.40828722472769896,0.0009335400830014998,mu,cases-percentile-boot,4313455233290741489,7418903,5,4,8,norm,1
6.94686738552247e-06,6.94686738552247e-06,0.2646670854902987,0.4865897883848542,0.7053722490441431,0.7053722490441431,0.3170590686841874,sd_l3,cases-percentile-boot,4313455233290741489,7418903,5,4,8,norm,1
0.22852422714401527,0.22852422714401527,0.4222943774346861,0.5862929950010909,0.6643053512874924,0.6643053512874924,0.5562164054476312,sd_l2,cases-percentile-boot,4313455233290741489,7418903,5,4,8,norm,1
-0.13571771664848703,-0.13571771664848703,-0.13571771664848703,0.20093572394211612,0.34588850951308425,0.34588850951308425,0.0009335400830014998,mu,cases-double-boot,4313455233290741489,7418903,5,4,8,norm,1
0.07720294169254532,0.07720294169254532,0.07720294169254532,0.4511717091918721,0.5777301395472363,0.5777301395472363,0.3170590686841874,sd_l3,cases-double-boot,4313455233290741489,7418903,5,4,8,norm,1
0.2973189101864142,0.2973189101864142,0.5057039320827847,0.6643053512874924,0.6643053512874924,0.6643053512874924,0.5562164054476312,sd_l2,cases-double-boot,4313455233290741489,7418903,5,4,8,norm,1
-0.6454503568503378,-0.5118344695305191,-0.1960248288706387,0.1658618285485763,0.48167152751914377,0.615287748107203,-0.015081523561354372,mu,likelihood-profile,7751617413234519218,1878277811,5,4,8,norm,2
