rand_eff_dgp,stat,n_l3,method,coverage_50_estimate,coverage_50_ci_low,coverage_50_ci_high,coverage_90_estimate,coverage_90_ci_low,coverage_90_ci_high,coverage_95_estimate,coverage_95_ci_low,coverage_95_ci_high
norm,sd_l3,50,cases-double-boot,0.322,0.282,0.364,0.686,0.644,0.728,0.772,0.732,0.808
norm,sd_l3,50,cases-percentile-boot,0.442,0.398,0.486,0.866,0.834,0.894,0.936,0.9120000000000001,0.956
norm,sd_l3,50,parametric-percentile-boot,0.454,0.41,0.5,0.852,0.82,0.882,0.928,0.9039999999999999,0.948
norm,sd_l3,50,profile-likelihood,0.47,0.426,0.514,0.892,0.862,0.918,0.944,0.922,0.962
t,mu,15,cases-double-boot,0.494,0.45,0.538,0.9,0.872,0.9240000000000002,0.948,0.926,0.964
t,mu,15,cases-percentile-boot,0.53,0.486,0.574,0.914,0.886,0.936,0.948,0.926,0.964
t,mu,15,parametric-percentile-boot,0.456,0.41200000000000003,0.502,0.878,0.8459999999999999,0.904,0.926,0.8999999999999999,0.946
t,mu,15,profile-likelihood,0.46,0.416,0.504,0.898,0.87,0.9219999999999999,0.944,0.92,0.962
t,mu,50,cases-double-boot,0.514,0.47,0.558,0.924,0.898,0.944,0.978,0.962,0.988
t,mu,50,cases-percentile-boot,0.538,0.496,0.582,0.934,0.908,0.954,0.974,0.956,0.986
t,mu,50,parametric-percentile-boot,0.488,0.446,0.534,0.908,0.8800000000000001,0.93,0.954,0.932,0.97
t,mu,50,profile-likelihood,0.484,0.44000000000000006,0.528,0.906,0.876,0.928,0.956,0.934,0.972
t,sd_l2,15,cases-double-boot,0.364,0.32200000000000006,0.406,0.758,0.718,0.794,0.862,0.8280000000000001,0.89
t,sd_l2,15,cases-percentile-boot,0.392,0.35,0.43599999999999994,0.72,0.68,0.758,0.786,0.748,0.822
t,sd_l2,15,parametric-percentile-boot,0.254,0.218,0.294,0.564,0.52,0.608,0.638,0.596,0.68
t,sd_l2,15,profile-likelihood,0.26,0.22399999999999998,0.302,0.608,0.566,0.65,0.69,0.648,0.73
t,sd_l2,50,cases-double-boot,0.386,0.344,0.42999999999999994,0.84,0.8044184709950486,0.87,0.898,0.87,0.924
t,sd_l2,50,cases-percentile-boot,0.35,0.31,0.39220274386821985,0.688,0.646,0.728,0.752,0.712,0.788
t,sd_l2,50,parametric-percentile-boot,0.222,0.188,0.262,0.512,0.468,0.556,0.59,0.546,0.6339999999999999
t,sd_l2,50,profile-likelihood,0.214,0.18,0.252,0.532,0.488,0.576,0.604,0.56,0.648
t,sd_l3,15,cases-double-boot,0.276,0.238,0.318,0.542,0.5,0.586,0.616,0.572,0.658
t,sd_l3,15,cases-percentile-boot,0.44,0.398,0.484,0.792,0.756,0.826,0.862,0.83,0.89
t,sd_l3,15,parametric-percentile-boot,0.222,0.188,0.26,0.51,0.468,0.554,0.6,0.558,0.644
t,sd_l3,15,profile-likelihood,0.28857715430861725,0.250501002004008,0.3306613226452906,0.6412825651302605,0.5991983967935872,0.6833667334669339,0.7274549098196392,0.687374749498998,0.7655310621242484
t,sd_l3,50,cases-double-boot,0.196,0.164,0.23399999999999999,0.476,0.43400000000000005,0.52,0.552,0.508,0.594
t,sd_l3,50,cases-percentile-boot,0.506,0.462,0.548,0.886,0.8560000000000001,0.912,0.93,0.904,0.95
t,sd_l3,50,parametric-percentile-boot,0.192,0.16,0.22800000000000004,0.466,0.422,0.51,0.536,0.492,0.58
t,sd_l3,50,profile-likelihood,0.21,0.176,0.248,0.52,0.476,0.564,0.624,0.58,0.6660000000000001
